label,rep,idx,t_ms,ax,ay,az,gx,gy,gz
1,1,0,0,-0.099119,0.101226,-0.934372,-188.174026,47.143593,-15.913047
1,1,1,21,-0.028806,0.518707,-1.020798,-82.674026,-12.356406,-36.475548
1,1,2,41,-0.020994,1.096832,-0.900192,-55.736523,-7.918906,50.711952
1,1,3,61,-0.164060,1.318023,-0.913376,-24.236523,5.456094,124.711952
1,1,4,81,-0.168455,1.257964,-0.949997,33.450977,12.581094,161.149460
1,1,5,101,-0.208005,1.269195,-1.029587,60.263477,32.206093,189.899460
1,1,6,121,-0.154783,1.507476,-1.058395,37.263477,35.268593,226.961960
1,1,7,141,0.033694,1.638824,-1.034958,-3.736523,55.456093,298.149445
1,1,8,161,-0.064451,1.262359,-0.916794,-57.861523,77.518593,414.461945
1,1,9,181,-0.245603,0.412750,-0.938766,-44.111523,80.518593,510.961945
1,1,10,201,-0.326169,-0.406098,-0.802536,1.013477,68.768593,537.524475
1,1,11,221,-0.499998,-0.762055,-0.616013,-22.049023,13.831094,524.899475
1,1,12,241,-0.529294,-1.277680,-0.567673,-62.361523,-2.856406,479.211945
1,1,13,261,-0.487791,-1.616547,-0.486130,-156.736526,71.643593,307.399445
1,1,14,281,-0.205076,-2.034516,-1.156540,-167.611526,29.393593,221.524460
1,1,15,301,-0.179685,-2.122406,-1.187790,251.638474,22.581093,201.711960
1,1,16,321,-0.063962,-2.263031,-0.841110,83.200974,97.456093,167.024460
1,1,17,341,0.178225,-2.318207,-0.706833,119.450974,144.768600,83.961952
1,1,18,361,0.221194,-2.184906,-0.528122,198.200974,162.581100,1.899453
1,1,19,381,0.136721,-2.235199,-0.279099,244.263474,111.331093,-53.288048
1,1,20,401,0.070315,-2.395356,-0.103317,94.888474,-101.856407,-124.350548
1,1,21,421,0.035647,-2.171723,-0.478806,46.200977,-167.856400,-263.288055
1,1,22,441,-0.019529,-1.948090,-0.580856,95.138474,-180.793900,-383.413055
1,1,23,461,-0.194333,-1.732758,-0.796677,169.950974,-166.293900,-470.600555
1,1,24,481,-0.752439,-0.891450,-1.158981,224.638474,-178.418900,-552.288025
1,1,25,501,-0.969236,0.226714,-1.632614,171.138474,-302.231415,-473.975555
1,1,26,521,0.123049,1.655425,-2.138474,-117.611526,-194.856400,-431.038055
1,1,27,541,0.345706,1.587066,-1.426071,-221.861526,140.081100,-306.850555
1,1,28,561,0.106936,1.171539,-0.597458,-135.236526,136.331100,-182.413040
1,1,29,581,0.156252,0.961578,-0.548141,68.450974,-16.856407,-91.975548
1,1,30,601,0.128909,0.644683,-0.885544,122.075974,-127.918907,-25.350548
1,1,31,621,0.175784,0.448394,-1.196091,-16.299023,-171.606400,-54.350548
1,1,32,641,0.418948,0.514800,-1.392380,-112.799026,-108.106407,-61.663048
1,1,33,661,0.497073,0.588531,-1.097458,-140.299026,9.768594,-35.663048
1,1,34,681,0.308596,0.712066,-0.669724,-83.299026,41.581093,-14.913047
1,1,35,701,0.108889,0.475738,-0.707809,106.325974,11.081094,-21.350548
1,1,36,721,0.390627,0.305816,-0.879196,179.763474,-43.981407,-59.225548
1,1,37,741,0.254885,0.344390,-0.991501,131.763474,-69.106407,-34.663048
1,1,38,761,0.283206,0.268218,-1.075485,48.200977,-48.481407,40.836952
1,1,39,781,0.094241,-0.018403,-1.105759,31.950977,-48.668907,70.586952
1,1,40,801,-0.030759,-0.070649,-1.152145,66.513474,-17.168907,123.211952
1,1,41,821,0.528811,-0.121918,-1.159470,5.888476,-24.231407,138.274460
1,1,42,841,0.449221,-0.358735,-1.138474,-6.299024,-13.856406,59.711952
1,1,43,861,0.288577,-0.257661,-1.104782,-0.986523,14.206094,9.524453
1,1,44,881,0.275393,-0.074555,-1.132614,-45.236523,22.518593,-6.038047
