label,rep,idx,t_ms,ax,ay,az,gx,gy,gz
1,1,0,0,0.044031,-0.081136,-1.110690,12.600039,26.653439,-0.061445
1,1,1,22,0.065027,0.003824,-0.985690,21.412539,38.403439,2.251055
1,1,2,41,0.094813,0.013102,-0.942233,18.537539,19.465939,0.813555
1,1,3,61,0.064539,-0.001058,-0.985690,4.287539,5.465938,-3.561445
1,1,4,81,0.067957,0.029215,-0.965671,2.600039,16.590939,-2.998945
1,1,5,101,0.071863,0.057535,-0.966159,-15.399961,18.340939,1.001055
1,1,6,121,0.088953,-0.023519,-0.983737,-26.587461,12.903438,5.376055
1,1,7,141,0.104090,0.006266,-0.948581,-37.024960,9.340938,6.876055
1,1,8,161,0.103113,-0.000082,-0.905612,-4.212461,-6.096562,17.751055
1,1,9,181,0.099207,-0.036703,-0.982761,23.287539,-18.284061,26.001055
1,1,10,201,0.088465,0.050699,-1.007175,9.725039,-27.909061,21.251055
1,1,11,221,0.072840,0.078043,-1.097995,54.475040,-41.346561,24.751055
1,1,12,241,0.087488,-0.021566,-1.154636,105.787537,-30.284061,33.938553
1,1,13,261,0.091883,-0.018636,-1.107272,59.475040,-26.034061,30.876055
1,1,14,281,0.027430,-0.130941,-1.080905,56.662540,-36.159061,44.313553
1,1,15,301,-0.033117,-0.278402,-1.059421,52.037540,-27.909061,44.626053
1,1,16,321,-0.128820,-0.606527,-1.101901,90.537537,6.340938,12.188555
1,1,17,341,0.200770,-0.178304,-0.822116,42.537540,79.528435,30.501055
1,1,18,361,-0.080969,-0.316000,-0.947116,-13.337461,68.653435,-19.436445
1,1,19,381,0.052820,-0.028402,-0.751804,-12.274961,41.965939,-102.748947
1,1,20,401,0.040125,0.196207,-0.657565,-129.462463,15.965938,-59.248947
1,1,21,421,0.240320,0.183512,-0.929538,-246.962463,-68.159065,-36.936447
1,1,22,441,0.210047,0.137614,-1.171237,-137.712463,-34.034061,51.376053
1,1,23,461,0.012293,-0.075277,-1.076511,-84.587463,-55.284061,62.126053
1,1,24,481,-0.068762,0.010660,-1.173190,-96.587463,-53.346561,14.376055
1,1,25,501,0.093836,0.161539,-1.331393,-37.024960,-8.221562,17.563555
1,1,26,521,0.047449,0.175211,-1.054050,-22.712461,2.903438,30.313555
1,1,27,541,-0.017004,0.210367,-1.291354,12.725039,-54.596561,20.938555
1,1,28,561,-0.025305,0.103434,-1.541354,44.912540,-85.971565,45.001053
1,1,29,581,-0.075109,-0.110922,-1.687839,27.475039,-43.284061,61.751053
1,1,30,601,-0.246008,-0.107015,-1.880710,28.350039,75.403435,72.938553
1,1,31,621,-0.279699,-0.191000,-2.222507,68.037537,318.465942,19.251055
1,1,32,641,-0.371496,-0.115316,-2.136081,77.787537,542.028442,-99.936447
1,1,33,661,-0.342687,0.044840,-1.948581,39.662540,689.153442,-206.811447
1,1,34,681,0.311121,0.411051,-1.407077,15.475039,659.778442,-203.311447
1,1,35,701,0.649012,0.225504,-0.746433,15.475039,431.965942,-53.436447
1,1,36,721,0.500574,0.054606,-0.957858,-38.274960,280.278442,-8.061445
1,1,37,741,0.269129,0.448649,-1.120456,35.975040,330.590942,11.688555
1,1,38,761,0.252527,0.419840,-0.841647,85.412537,426.590942,61.751053
1,1,39,781,0.254969,0.195719,-0.492526,100.537537,407.590942,48.438553
1,1,40,801,0.395594,0.177164,-0.219577,26.037539,364.153442,3.001055
1,1,41,821,0.527918,0.176676,-0.160495,25.037539,325.215942,21.063555
1,1,42,841,0.566004,0.058024,0.024564,42.850040,293.153442,20.938555
1,1,43,861,0.649988,0.006266,0.102200,3.162539,265.778442,-1.311445
1,1,44,881,0.587488,0.010172,0.198392,-46.899960,254.090942,-10.686445
1,1,45,901,0.534266,-0.037191,0.308743,-64.774963,240.465942,-16.373945
1,1,46,921,0.387781,-0.029379,0.506985,-69.774963,228.903442,-19.248945
1,1,47,941,0.312098,-0.069418,0.619778,-74.462463,210.840942,-14.436445
1,1,48,961,0.168543,-0.081625,0.703274,-50.399960,205.403442,-12.873945
1,1,49,981,0.133387,-0.108480,0.875638,-42.837460,195.528442,-13.998945
1,1,50,1001,0.084070,-0.152914,1.035306,-69.087463,164.778442,-7.311445
1,1,51,1021,-0.006750,-0.170980,1.143216,-74.587463,130.153442,2.313555
1,1,52,1041,-0.000402,-0.216390,1.307767,-46.149960,107.778435,15.688555
1,1,53,1061,-0.110266,-0.355551,1.425931,19.412539,67.903435,27.563555
1,1,54,1081,0.040613,-0.204183,1.442044,46.162540,9.153438,20.563555
1,1,55,1101,0.149012,-0.246664,1.314114,16.475039,-60.721561,36.313553
1,1,56,1121,0.191492,-0.362875,1.252103,9.787539,-113.534065,18.813555
1,1,57,1141,0.241785,-0.420980,1.132962,8.787539,-159.159058,-15.998945
1,1,58,1161,0.189051,-0.221761,0.937649,18.037539,-177.096558,-30.811445
1,1,59,1181,0.279383,0.142496,0.647122,6.912539,-173.846558,-44.248947
1,1,60,1201,0.295008,0.093668,0.714017,43.350040,-176.534058,11.063555
1,1,61,1221,0.355555,-0.109945,0.752591,80.100037,-201.471558,22.938555
1,1,62,1241,0.450281,-0.050863,0.492825,102.537537,-236.846558,32.626053
1,1,63,1261,0.422449,-0.054281,0.459134,119.037537,-254.909058,27.688555
1,1,64,1281,0.527430,-0.088949,0.513821,64.037537,-276.909058,-5.498945
1,1,65,1301,0.392176,-0.076254,0.304837,-9.774961,-365.034058,-46.186447
1,1,66,1321,0.406336,-0.021078,-0.076511,-43.212460,-405.346558,-56.811447
1,1,67,1341,0.397547,0.022379,-0.351413,12.225039,-387.221558,-58.936447
1,1,68,1361,0.438563,0.029215,-0.591647,13.662539,-389.971558,-57.686447
1,1,69,1381,0.444910,0.094156,-0.748874,-31.462461,-403.034058,-69.186447
1,1,70,1401,0.530848,0.268473,-1.040378,-97.962463,-408.409058,-100.686447
1,1,71,1421,0.522547,0.437418,-1.221042,-58.274960,-327.596558,-102.373947
1,1,72,1441,0.338953,0.460856,-1.264987,-67.462463,-300.784058,-105.436447
1,1,73,1461,0.462000,0.422770,-1.491061,-96.899963,-286.971558,-98.998947
1,1,74,1481,0.567957,0.487711,-1.520847,-76.337463,-216.034058,-106.311447
